hour,temperature,pH,turbidity,do
0,27.299645697631814,7.8212555321235895,3.326880023537788,6.83086479927456
1,27.277479983889318,7.832454970017521,3.3080525858962875,6.927349384752818
2,27.26682919220544,7.834915281691293,3.324601098113952,6.87864196846241
3,27.290431706642494,7.842033175226376,3.3408946602588956,6.81538187602692
4,27.352028379408114,7.819495489663642,3.3389600198005276,6.919018427528617
5,27.36315068974266,7.834578966774846,3.315499128200833,6.793353376375686
6,27.331526773092467,7.8285549556989436,3.3582848338768767,6.975533704638407
7,27.26802641256406,7.830144830409362,3.349745985181473,6.893827417720628
8,27.298336840157997,7.817359653484528,3.3055137128950447,6.867945985956392
9,27.27657000794855,7.817856824662297,3.361358947363854,6.860909106931673
10,27.22789027102215,7.842585429642335,3.3303927370577955,6.906506017082522
11,27.330604237148194,7.845129902840125,3.254534353334405,6.980862925887286
12,27.353919197033,7.82765816589466,3.3119351717605094,6.906023440190956
13,27.299376392173286,7.818697350906946,3.317522240826681,6.920657316399926
14,27.336225982546967,7.846242401571008,3.3069436419489984,6.89802213808833
15,27.318231283750478,7.816791154668672,3.3152784740804133,6.894766290086464
16,27.27375500628796,7.822868433562507,3.3661796875604626,6.871086165219254
17,27.375694440460997,7.84517879875856,3.3613453624544385,6.873344163905989
18,27.317656616417988,7.819244630768651,3.289991216881029,6.898992588992092
19,27.318768560471273,7.829306424357365,3.3399345849215765,6.938820216979135
20,27.30873798668343,7.840324072297418,3.29166670491682,6.847908301587729
21,27.230896262789123,7.7939057930417,3.3062010831607966,6.8729860518821235
22,27.278338546387964,7.8234367520136585,3.378653590082037,6.927517476368145
23,27.350079694634232,7.814849346794087,3.2711325226913144,6.908149132814758
