pH,prediction
6.0,0.09597910129927073
6.125,0.12391563607773191
6.25,0.18130406364357285
6.375,0.335266885316925
6.5,0.05370201713146998
6.625,0.030114632666245443
6.75,0.0227392390572765
6.875,0.03620178469372943
7.0,0.0274124964158647
7.125,0.026527162740218303
7.25,0.017484272996390052
7.375,0.018338931046639015
7.5,0.027974228657760922
7.625,0.014896088646008325
7.75,0.018406591463190885
7.875,0.027975726857121862
8.0,0.02034323103936288
8.125,0.01877898037500294
8.25,0.021641763404626518
8.375,0.018970551657557885
8.5,0.019179568912071555
8.625,0.0189326053530065
8.75,0.017763700762540982
8.875,0.016964831479471615
9.0,0.018825584952249418
