turbidity_proxy,prediction
0.01300086216876691,0.011087124885025475
0.01550851972742179,0.011188930354134046
0.01801617728607667,0.0159212830127329
0.02052383484473155,0.015033090364276922
0.02303149240338643,0.02508031482609526
0.02553914996204131,0.011627122921675972
0.028046807520696188,0.011481584998878773
0.03055446507935107,0.011197222765301575
0.033062122638005946,0.01609737137785645
0.03556978019666083,0.05484583269895686
0.038077437755315705,0.041437440872107614
0.04058509531397059,0.038729293023383474
0.04309275287262547,0.04683378266316785
0.045600410431280346,0.038354661302507996
0.04810806798993523,0.046856928464218475
0.050615725548590104,0.05892225315063533
0.05312338310724499,0.04666516017613196
0.05563104066589987,0.053992911774026014
0.058138698224554745,0.05229225517536587
0.06064635578320963,0.05705818091018828
0.0631540133418645,0.06931890854833085
